#   X     Y     Z      S       D
   109   195   150  3.7188  1.0584
   112   195   150  3.7157  1.0571
   106   193   151  3.7111  1.0542
   107   203   151  3.7050  1.0516
   107   198   150  3.7037  1.0522
   108   203   151  3.7009  1.0500
   114   197   150  3.6991  1.0503
   108   203   152  3.6990  1.0481
   107   197   150  3.6913  1.0471
   113   199   150  3.6911  1.0471
   110   200   150  3.6897  1.0465
   106   201   154  3.6861  1.0408
   109   200   150  3.6856  1.0448
   106   203   151  3.6835  1.0429
   110   193   151  3.6828  1.0426
   114   198   150  3.6801  1.0426
   107   199   150  3.6787  1.0420
   109   203   151  3.6771  1.0403
   111   200   150  3.6754  1.0406
   114   196   150  3.6653  1.0365
   108   200   150  3.6630  1.0356
   106   199   153  3.6615  1.0318
   113   195   150  3.6598  1.0343
   116   201   155  3.6561  1.0276
   108   195   150  3.6533  1.0317
   116   193   155  3.6490  1.0248
   106   195   154  3.6457  1.0245
   106   198   153  3.6454  1.0253
   106   200   153  3.6444  1.0249
   112   200   150  3.6407  1.0265
   107   196   150  3.6403  1.0264
   110   203   151  3.6396  1.0251
   106   193   155  3.6349  1.0191
   114   203   155  3.6274  1.0161
   110   194   150  3.6264  1.0208
   111   194   150  3.6219  1.0190
   107   200   150  3.6199  1.0181
   116   199   151  3.6194  1.0169
   109   203   152  3.6153  1.0142
   106   194   152  3.6114  1.0127
   114   199   150  3.6111  1.0146
   116   198   151  3.6103  1.0133
   106   198   150  3.6006  1.0104
   106   201   153  3.5983  1.0064
   109   194   150  3.5976  1.0092
   111   193   151  3.5964  1.0077
   115   197   150  3.5948  1.0081
   106   197   153  3.5934  1.0045
   106   199   150  3.5933  1.0075
   111   203   151  3.5930  1.0063
   112   194   150  3.5889  1.0057
   106   200   157  3.5877  0.9984
   113   200   150  3.5827  1.0032
   114   195   150  3.5810  1.0026
   116   200   151  3.5804  1.0013
   106   199   157  3.5775  0.9943
   106   201   157  3.5769  0.9941
   115   198   150  3.5744  0.9999
   106   197   150  3.5734  0.9995
   109   201   150  3.5728  0.9993
   110   201   150  3.5684  0.9975
   115   196   150  3.5623  0.9951
   108   201   150  3.5614  0.9947
   116   197   151  3.5544  0.9909
   106   200   150  3.5531  0.9915
